1939	   366	    0	  X	 LF
1921	   366	    0	  X	 LF
1995	   366	    0	  X	 LF
1941	   366	    0	  X	 LF
1931	   366	    0	  X	 LF
1591	   366	    0	  X	 FH
899	   366	    0	  X	 FH
687	   366	    0	  I	 FH
781	   366	    0	  X	 HRF
895	   366	    0	  X	 RF
3802	   366	    1	  D	 F
3844	   366	    1	  D	 F
688	   366	    1	  I	 HF
780	   366	    1	  X	 FHR
3804	   366	    1	  D	 F
898	   366	    1	  X	 FH
1930	   366	    1	  X	 FL
1994	   366	    1	  X	 FL
3810	   366	    1	  D	 F
1690	   366	    1	  X	 HLF
1590	   366	    1	  X	 HF
784	   366	    1	  X	 HLF
8705	   367	    0	  L	 -
8707	   375	    0	  L	 -
3823	   367	    0	  D	 F
3843	   367	    0	  D	 F
8715	   375	    0	  L	 -
3817	   367	    0	  D	 FHL
791	   367	    0	  X	 HLF
3899	   375	    0	  D	 F
8723	   367	    0	  L	 -
8725	   367	    0	  L	 -
3873	   375	    0	  D	 F
8631	   367	    0	  L	 -
843	   367	    0	  X	 F
3822	   367	    1	  D	 F
3890	   367	    1	  D	 F
3824	   367	    1	  D	 F
8700	   375	    1	  L	 -
8704	   375	    1	  L	 -
3848	   367	    1	  D	 F
8706	   367	    1	  L	 -
8712	   375	    1	  L	 -
790	   367	    1	  X	 HLF
3816	   367	    1	  D	 HLF
8720	   367	    1	  L	 -
8724	   375	    1	  L	 -
8726	   367	    1	  L	 -
1867	   368	    0	  D	 F
1925	   368	    0	  X	 HLF
3853	   368	    0	  D	 F
1921	   368	    0	  X	 HLF
785	   368	    0	  X	 FH
1941	   368	    0	  X	 HLF
1931	   368	    0	  X	 LF
1999	   368	    0	  X	 LF
899	   368	    0	  X	 HF
687	   368	    0	  I	 FRH
1693	   368	    0	  X	 F
781	   368	    0	  X	 HF
3840	   368	    1	  D	 F
12812	   368	    1	  L	 -
686	   368	    1	  I	 HFR
782	   368	    1	  X	 FH
1874	   368	    1	  X	 HLF
3850	   368	    1	  D	 F
896	   368	    1	  X	 FH
1940	   368	    1	  X	 HLF
3852	   368	    1	  D	 -
772	   368	    1	  X	 HF
1998	   368	    1	  X	 FL
9788	   368	    1	  X	 FL
12852      368	    1	  L	 -
1924	   368	    1	  X	 HLF
1686	   368	    1	  X	 HF
8848	   369	    0	  L	 -
3902	   369	    0	  D	 F
735	   400	    0	  X	 F
8842	   369	    0	  D	 F
3841	   400	    0	  D	 F
3908	   369	    0	  D	 F
3910	   369	    0	  D	 F
8850	   369	    0	  L	 -
737	   400	    0	  X	 F
3914	   369	    0	  D	 F
3837	   400	    0	  D	 F
3916	   369	    0	  D	 F
3839	   400	    0	  D	 F
8840	   369	    1	  L	 -
8634	   400	    1	  L	 -
3900	   369	    1	  D	 F
3922	   369	    1	  D	 F
3924	   369	    1	  D	 F
8636	   400	    1	  L	 -
738	   400	    1	  X	 F
8844	   369	    1	  L	 -
3834	   400	    1	  D	 F
3928	   369	    1	  D	 F
3930	   369	    1	  D	 F
3932	   369	    1	  D	 F
3838	   400	    1	  D	 F
3936	   369	    1	  D	 F
3847	   370	    0	  D	 F
8657	   370	    0	  L	 F
8661	   372	    0	  L	 F
3857	   370	    0	  D	 F
3881	   370	    0	  D	 F
8665	   372	    0	  L	 F
12783	   372	    0	  L	 F
8667	   372	    0	  L	 F
3845	   370	    0	  D	 F
3859	   372	    0	  D	 F
3863	   372	    0	  D	 F
12779      370	    0	  L	 F
8673	   372	    0	  L	 F
3865	   370	    0	  D	 F
3867	   370	    0	  D	 F
8675	   372	    0	  L	 F
8681	   370	    0	  L	 F
8679	   372	    0	  A	 F
3871	   372	    0	  A	 F
12840      370	    1	  L	 F
3872	   370	    1	  D	 F
8662	   372	    1	  L	 F
3856	   370	    1	  D	 F
8668	   372	    1	  L	 F
8710	   372	    1	  L	 F
8682	   370	    1	  L	 F
3860	   372	    1	  D	 F
3862	   370	    1	  D	 F
8672	   372	    1	  L	 F
3864	   370	    1	  D	 F
12784      372	    1	  L	 F
3886	   370	    1	  D	 F
3868	   372	    1	  D	 F
8676	   372	    1	  L	 F
8686	   370	    1	  L	 F
8739	   371	    0	  L	 -
8745	   371	    0	  L	 -
8751	   371	    0	  L	 -
8763	   371	    0	  L	 -
8775	   371	    0	  L	 -
8785	   371	    0	  L	 -
12857      371	    0	  L	 -
12871      371	    0	  L	 -
12879      371	    0	  L	 -
8740	   371	    1	  L	 -
8748	   371	    1	  L	 -
8762	   371	    1	  L	 -
8774	   371	    1	  L	 -
8778	   371	    1	  L	 -
8784	   371	    1	  L	 -
12858 	   371	    1	  L	 -
12868 	   371	    1	  L	 -
12874 	   371	    1	  L	 -
12880 	   371	    1	  L	 -
12884 	   371	    1	  L	 -
71	   378	    0	  A	 F
77	   378	    0	  A	 F
72	   378	    1	  A	 F
78	   378	    1	  A	 F
8611	   379	    0	  A	 -
8613	   379	    0	  L	 -
8617	   379	    0	  A	 -
8600	   379	    1	  A	 -
8602	   379	    1	  A	 -
8764	   379	    1	  A	 -
8608	   379	    1	  L	 -
55	   381	    0	  A	 F
56	   381	    0	  A	 F
58	   381	    1	  A	 F
59	   381	    1	  A	 F
8577	   382	    0	  L	 -
8583	   382	    0	  L	 -
8589	   382	    0	  L	 -
8591	   382	    0	  L	 -
8599	   382	    0	  L	 -
8605	   382	    0	  L	 -
8607	   382	    0	  L	 -
8574	   382	    1	  L	 -
8578	   382	    1	  L	 -
3806	   382	    1	  D	 F
8584	   382	    1	  L	 -
8592	   382	    1	  L	 -
3812	   382	    1	  D	 HLF
